"KNA": Xmin=-62.86278   ;Xmax=-62.6225    ;Ymin=17.20888   ;Ymax=17.41014   ;
"KOR": Xmin=126.09901   ;Xmax=129.58687   ;Ymin=33.19221   ;Ymax=38.62524   ;
"KWT": Xmin=46.54694    ;Xmax=48.41659    ;Ymin=28.53888   ;Ymax=30.08416   ;
"LAO": Xmin=100.09137   ;Xmax=107.69525   ;Ymin=13.92666   ;Ymax=22.49993   ;
"LBN": Xmin=35.10083    ;Xmax=36.62374    ;Ymin=33.06208   ;Ymax=34.6475    ;
"LBR": Xmin=-11.49233   ;Xmax=-7.3684     ;Ymin=4.34361    ;Ymax=8.51278    ;
"LBY": Xmin=9.31139     ;Xmax=25.15167    ;Ymin=19.49907   ;Ymax=33.17114   ;
"LCA": Xmin=-61.07959   ;Xmax=-60.87806   ;Ymin=13.70944   ;Ymax=14.1093    ;
"LIE": Xmin=9.47464     ;Xmax=9.63389     ;Ymin=47.05746   ;Ymax=47.27454   ;
"LKA": Xmin=79.69609    ;Xmax=81.89166    ;Ymin=5.91805    ;Ymax=9.82819    ;
"LSO": Xmin=27.01397    ;Xmax=29.45555    ;Ymin=-30.65053  ;Ymax=-28.5707   ;
"LTU": Xmin=20.94283    ;Xmax=26.81305    ;Ymin=53.89034   ;Ymax=56.44985   ;
"LUX": Xmin=5.73444     ;Xmax=6.52403     ;Ymin=49.44847   ;Ymax=50.1818    ;
"LVA": Xmin=20.96861    ;Xmax=28.23597    ;Ymin=55.67484   ;Ymax=58.08326   ;
"MAR": Xmin=-13.17496   ;Xmax=-1.01181    ;Ymin=27.66424   ;Ymax=35.91917   ;
"MCO": Xmin=7.3909      ;Xmax=7.43929     ;Ymin=43.72755   ;Ymax=43.7683    ;
"MDA": Xmin=26.635      ;Xmax=30.12871    ;Ymin=45.44865   ;Ymax=48.46832   ;
"MDG": Xmin=43.23682    ;Xmax=50.50139    ;Ymin=-25.58834  ;Ymax=-11.94556  ;
"MDV": Xmin=72.86339    ;Xmax=73.63728    ;Ymin=-0.64166   ;Ymax=7.02778    ;
"MEX": Xmin=-118.40417  ;Xmax=-86.73862   ;Ymin=14.55055   ;Ymax=32.71846   ;
"MHL": Xmin=162.32497   ;Xmax=169.97162   ;Ymin=5.60028    ;Ymax=14.59403   ;
"MKD": Xmin=20.45882    ;Xmax=23.03097    ;Ymin=40.85589   ;Ymax=42.35895   ;
"MLI": Xmin=-12.24483   ;Xmax=4.25139     ;Ymin=10.14215   ;Ymax=25.00027   ;
"MLT": Xmin=14.3291     ;Xmax=14.57       ;Ymin=35.8       ;Ymax=35.99194   ;
"MMR": Xmin=92.20499    ;Xmax=101.16943   ;Ymin=9.83958    ;Ymax=28.54652   ;
"MNG": Xmin=87.7611     ;Xmax=119.93151   ;Ymin=41.58666   ;Ymax=52.14277   ;
"MNP": Xmin=145.57268   ;Xmax=145.81809   ;Ymin=14.90805   ;Ymax=15.26819   ;
"MOZ": Xmin=30.21302    ;Xmax=40.84611    ;Ymin=-26.86028  ;Ymax=-10.47111  ;
"MRT": Xmin=-17.07556   ;Xmax=-4.80611    ;Ymin=14.72564   ;Ymax=27.29046   ;
"MSR": Xmin=-62.23695   ;Xmax=-62.13889   ;Ymin=16.67139   ;Ymax=16.81236   ;
"MTQ": Xmin=-61.23153   ;Xmax=-60.81695   ;Ymin=14.40278   ;Ymax=14.88014   ;
"MUS": Xmin=57.30631    ;Xmax=63.49576    ;Ymin=-20.52056  ;Ymax=-19.67334  ;
"MWI": Xmin=32.68187    ;Xmax=35.92097    ;Ymin=-17.13528  ;Ymax=-9.37667   ;
"MYS": Xmin=99.64194    ;Xmax=119.27582   ;Ymin=0.85277    ;Ymax=7.35292    ;
"MYT": Xmin=45.03916    ;Xmax=45.22972    ;Ymin=-12.9925   ;Ymax=-12.6625   ;
"NAM": Xmin=11.71639    ;Xmax=25.26443    ;Ymin=-28.96188  ;Ymax=-16.95417  ;
"NCL": Xmin=163.98274   ;Xmax=168.13051   ;Ymin=-22.67389  ;Ymax=-20.08792  ;
"NER": Xmin=0.16666     ;Xmax=15.99667    ;Ymin=11.69327   ;Ymax=23.5223    ;
